query,numtasks,elapsedTime,duration,schedulerDelayTime,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,gettingResultTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,executorTimeRatio,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
q73,14281,55412,19214421,404094,16598588,1113982,2210881,535855,858,786438,72,9835,0,11673,0,0,142671872,354683835,1938557432,602,346382,57486661,34930,307,34623,1907128031,14835029,1892293002,0,1000398910,30183313,0.8638609511054224,0.06711305805047996,0.93288694194952,0.04737981327086376,4.337718364959718e-06,3845685463,1000745292,0.0,0.0,3.8428214389241413,1.9063675619158762,0.924,0.133,3.582,0.932,1.776,0.932
q74,18834,94928,41769806,476749,39275027,6316414,2017146,499998,884,5528034,802022,248394,0,25413,0,0,750795016,4182849091,22926880816,100,3072,4398222387,813643,6565,807078,45599976624,371253480,45228723144,0,42649297287,4308222387,0.9402731485034908,0.1608251981596346,0.8391748018403654,0.14075188286948853,0.020420660691079857,68526857440,42649300359,0.0,0.0,1.6067522060895714,1.0691847116997963,1.582,0.699,63.821,39.72,42.468,39.72
q75,24939,107901,67505342,388733,64885240,8270527,2230723,549379,646,5397328,535396,334184,0,585625,0,0,603979776,7375194761,79862464700,41,3937,4192235620,2566226,20323,2545903,99724890684,785538925,98939351759,0,66214075550,2680223262,0.9611867457837633,0.12746391937519227,0.8725360806248077,0.08318267760125415,0.008251429755056773,179587355384,66214079487,0.0,0.0,2.712223091755869,1.506098059297001,1.798,0.562,167.254,61.667,92.876,61.667
q76,15755,81520,45977120,332349,43414239,3132365,2229717,543775,780,2685541,89971,22649,35,3229205,0,0,88438904,14709345129,133103854408,100,3099,58589,55539,403,55136,6143287,44599,6098688,0,6143287,58589,0.9442574698023712,0.07215063702947781,0.9278493629705222,0.06185852987081036,0.002072384592529654,133109997695,6146386,0.0,0.0,21656.62841464887,1.0,1.359,0.082,123.968,0.006,0.006,0.006
q77,55825,56784,31033930,7872716,20458678,1632714,2700784,815852,1752,943935,602857,20532,0,22375,0,0,336461824,345832600,3062032719,100,3787,736659,550158,4145,546013,43208300,326810,42881490,0,7155271,224632,0.6592358106111601,0.07980544979494765,0.9201945502050524,0.04613861169328732,0.029467055495961177,3105241019,7159058,0.0,0.0,433.7499457330839,6.038667158798039,0.946,0.313,2.892,0.007,0.04,0.007
q78,20089,173052,64118445,369625,61745255,19372082,2002998,512949,567,4889321,340842,634712,0,20205,0,0,2952790016,4465198630,47109413005,100,6489,7106013189,1228442,9638,1218804,177856880630,1388380262,176468500368,0,177856880630,7106013189,0.9629874055741683,0.31374203572404064,0.6862579642759594,0.07918537222010015,0.005520132680640804,224966293635,177856887119,0.0,0.0,1.264872546006499,1.0,2.884,2.75,209.516,165.642,165.642,165.642
q79,12063,32964,11003914,246633,9066111,527552,1690591,380464,579,488547,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823898750935349,0.05818944859598564,0.9418105514040144,0.05388716286398876,0.0,0,0,,,,,0.549,0.0,0.0,0.0,0.0,0.0
q8,12063,36384,12565170,257885,10615499,543042,1691197,385290,589,516848,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8448352867490054,0.05115557921488194,0.9488444207851181,0.04868805507871086,0.0,0,0,,,,,0.606,0.0,0.0,0.0,0.0,0.0
q80,20112,79523,37734076,409515,35270144,5473221,2053676,510786,741,1440514,152088,151334,0,367252,0,0,505238872,1840460347,29587968769,100,4154,1833528334,878090,6854,871236,44160631738,345437568,43815194170,0,44160631738,1833528334,0.934702733942657,0.15518000153330816,0.8448199984666919,0.040842305605556926,0.004312089000827442,73748600507,44160635892,0.0,0.0,1.6700076667229347,1.0,1.325,0.471,68.684,41.128,41.128,41.128
q81,15927,65653,19755820,307862,17449931,2075283,1997391,496553,636,1246310,1400,69355,0,20825,0,0,671416320,232577449,2885160035,100,10027,506565026,298000,1931,296069,9516977951,86070070,9430907881,0,9389517780,492016072,0.8832805218917767,0.11892786280931426,0.8810721371906858,0.07142205891816994,8.022954360106066e-05,12402137986,9389527807,0.0,0.0,1.3208478893639428,1.013574730245625,1.094,0.625,11.55,8.745,8.863,8.745
