,App ID,App Name,query,AllSuccessful,aLogSuccess,AppSuccessful,FailureCounts,RunType,aQueryTime,elapsedTime,AppDurationSecs,stageDuration,numStages,numTasks,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,submissionTime,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
43,app-20201104193759-0218,TPC-DS Like Bench,q40,True,True,True,0,cpu,37646.0,91682,100.595,64280,39,14838,17232168,1752200,1988503,502400,762,680943,3972,56975,4571058,0,0,71100120000,515332484,6065439745,100,2984,519402496,325791,2561,323230,9518752395,75085989,9443666406,0,9518752395,519402496,1604518682050,0.102,0.898,0.04,0.0,15584192140,9518755379,0.0,0.0,1.637,1.0,1.528,66.217,14.514,8.865,8.865,8.865
44,app-20201104193941-0219,TPC-DS Like Bench,q41,True,True,True,0,cpu,30620.0,120690,129.921,55600,36,12431,12109831,593530,1736177,426221,352,553543,11,2208,4571058,0,0,11795169280,720000,5065325,100,1583,964,452,15,437,51667,1651,50016,0,51667,964,1604518787323,0.049,0.951,0.046,0.0,5116992,53250,0.0,0.0,96.094,1.0,2.011,10.985,0.005,0.0,0.0,0.0
45,app-20201104194153-0220,TPC-DS Like Bench,q42,False,False,True,0,cpu,,33130,37.176,21775,31,12063,9143993,553099,1669990,395958,565,520136,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604518915742,0.06,0.94,0.057,0.0,0,0,,,,,0.552,0.0,0.0,0.0,0.0,0.0
46,app-20201104194231-0221,TPC-DS Like Bench,q43,True,True,True,0,cpu,12559.0,45268,49.61,34016,36,13415,12979845,1446857,2215556,538815,882,893178,41,24471,6090899,0,0,10320084992,1659294255,4481243642,100,7095,223885,115612,911,114701,14797454,116714,14680740,0,14797454,223885,1604518954433,0.111,0.889,0.069,0.0,4496041096,14804549,0.0,0.0,303.693,1.0,0.754,9.611,4.187,0.014,0.014,0.014
47,app-20201104194323-0222,TPC-DS Like Bench,q44,True,True,True,0,cpu,47817.0,79326,83.886,81736,40,14832,37472984,2858979,2169443,528693,1361,2720387,31364,42350,6115363,0,0,78020608000,17278509106,128532791263,10,1415,24080405,470774,3689,467085,329653687,2585558,327068129,0,166509174,12188068,1604519005663,0.076,0.924,0.073,0.001,128862444950,166510589,0.0,0.0,773.899,1.98,1.322,72.662,120.013,0.155,0.307,0.155
48,app-20201104194448-0223,TPC-DS Like Bench,q45,False,False,True,0,cpu,,32753,36.947,21249,31,12063,9053594,551808,1705289,396658,858,525816,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604519091087,0.061,0.939,0.058,0.0,0,0,,,,,0.546,0.0,0.0,0.0,0.0,0.0
49,app-20201104194527-0224,TPC-DS Like Bench,q46,True,True,True,0,cpu,21464.0,57277,61.699,61897,41,14187,15801485,1652889,1942426,490110,592,987911,8205,58181,4571058,0,0,49949966336,1481432959,17619733520,100,4396,67498971,206686,1719,204967,1537617877,20539101,1517078776,0,1327491062,52950010,1604519129625,0.105,0.895,0.063,0.001,19157351397,1327495458,0.0,0.0,14.431,1.158,0.955,46.52,17.842,1.236,1.432,1.236
50,app-20201104194630-0225,TPC-DS Like Bench,q47,True,True,True,0,cpu,28304.0,60645,65.304,68213,44,15406,24345471,5704855,2276860,553957,924,3180081,73086,174827,8143555,0,0,90638942432,4052181092,27134716520,100,5621,16433350,592511,4639,587872,706411064,5504213,700906851,0,695612441,16313190,1604519192943,0.234,0.766,0.131,0.003,27841127584,695618062,0.0,0.0,40.024,1.016,1.011,84.414,25.929,0.648,0.658,0.648
51,app-20201104194737-0226,TPC-DS Like Bench,q48,False,False,True,0,cpu,,32976,37.609,21422,31,12063,8880760,554060,1695142,392282,633,526832,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604519260079,0.062,0.938,0.059,0.0,0,0,,,,,0.55,0.0,0.0,0.0,0.0,0.0
52,app-20201104194816-0227,TPC-DS Like Bench,q49,True,True,True,0,cpu,32914.0,64980,69.517,152388,47,20317,27963438,2238930,2089840,519702,849,1160995,76289,98031,4747055,0,0,42100524800,2009751933,28399978089,100,2384,161330499,896051,7038,889013,3562338259,27950596,3534387663,0,3562338259,161330499,1604519299139,0.08,0.92,0.042,0.003,31962316348,3562340643,0.0,0.0,8.972,1.0,1.083,39.209,29.767,3.318,3.318,3.318
